name,Role,Rating ( 10 ),Test Maches,ODI Matches,T20 Matches,ODI High Score,Test High Score,T20 High Score,ODI avg,Test avg,T20 Avg,Test Wickets,ODI Wickets,T20 Wickets,Test 200 s,Test 100 s,Test 50 s,ODI 200 s,ODI 100s ,ODI 50 s,T20 100 s,T20 50 s,Test Runs,ODI Runs,T20 Runs
Rohit Sharma,Batsman,8.5,32,224,108,264,212,118,49.27,46.54,32.24,2,8,1,1,6,10,3,29,43,4,21,2141,9115,2773
Shikhar Dhawan,Batsman,7.8,34,136,60,143,190,92,45.14,40.61,28.36,0,0,0,0,7,5,0,17,29,0,10,2315,5688,1588
KL Rahul,Batsman,7.8,36,32,41,112,199,110,47.65,34.59,45.66,0,0,0,0,5,11,0,4,7,2,11,2006,1239,1461
Virat Kohli,Batsman(C),9.0,86,248,81,183,254,94,59.34,53.63,50.8,0,4,4,7,27,22,0,43,58,0,24,7240,11867,2794
Shreyash Iyer,Batsman,7.5,0,18,21,103,0,62,49.87,0.0,27.8,0,0,0,0,0,0,0,1,8,0,2,0,748,417
MS Dhoni,Batsman(Wk),8.0,90,350,98,183,224,56,50.58,39.02,37.67,1,1,0,1,6,33,0,10,73,0,2,4876,10773,1617
Rishab Pant,Batsman(Wk),7.0,13,16,27,83,159,65,26.71,38.76,20.5,0,0,0,0,2,2,0,0,1,0,2,814,374,310
Hardik Pandya,All-rounder,8.0,11,54,40,78,108,33,29.91,31.29,16.32,17,54,38,0,1,4,0,0,4,0,0,532,336,173
Ravindra Jadeja,All-rounder,8.0,49,165,49,87,100,25,31.89,35.26,12.36,213,187,39,0,1,14,0,0,12,0,0,1869,957,2296
Kuldeep Yadav,Bowler,7.5,6,60,20,19,26,16,13.11,8.5,5.75,24,104,39,0,0,0,0,0,0,0,0,51,118,20
Bhuvaneshwar Kumar,Bowler,8.0,21,114,43,53,63,9,14.22,22.08,20.0,63,132,41,0,0,3,0,0,1,0,0,552,526,23
Jasprit Bumrah,Bowler,9.0,14,64,49,10,10,7,3.8,2.91,4.0,68,104,59,0,0,0,0,0,0,0,0,32,19,8
Mohammed Shami,Bowler,8.0,49,77,11,25,51,0,7.74,11.3,0.0,180,144,12,0,0,1,0,0,0,0,0,497,147,0
Yuzvendra Chahal,Bowler,7.7,0,52,42,18,0,3,8.17,0.0,2.5,0,91,55,0,0,0,0,0,0,0,0,0,49,5
